0.0,0.0,0.0,0.0
-0.0,-0.0,0.0,0.002
0.0,0.002,-0.002,0.0
-0.002,0.002,0.0,0.002
-0.002,0.004,0.002,0.002
-0.0,0.006,0.0,0.002
-0.0,0.008,-0.002,0.0
-0.002,0.008,0.0,0.002
-0.002,0.01,-0.002,0.0
-0.004,0.01,0.002,0.002
-0.002,0.012,0.0,0.002
-0.002,0.014,-0.002,0.0
-0.004,0.014,0.0,0.002
-0.004,0.016,-0.002,0.0
-0.006,0.016,-0.002,0.002
-0.008,0.018,-0.002,0.002
-0.01,0.02,-0.002,0.002
-0.012,0.022,0.0,-0.002
-0.012,0.02,0.0,0.002
-0.012,0.022,0.0,-0.002
-0.012,0.02,0.002,0.0
-0.01,0.02,0.002,0.0
-0.008,0.02,0.0,-0.002
-0.008,0.018,0.0,0.002
-0.008,0.02,0.002,0.0
-0.006,0.02,0.002,0.0
-0.004,0.02,0.0,0.002
-0.004,0.022,0.004,0.0
-0.0,0.022,0.0,0.002
-0.0,0.024,0.002,0.002
0.002,0.026,0.0,0.002
0.002,0.028,0.0,0.002
0.002,0.03,0.002,0.0
0.004,0.03,0.002,0.0
0.006,0.03,0.0,-0.002
0.006,0.028,-0.002,-0.002
0.004,0.026,0.002,-0.002
0.006,0.024,0.002,-0.002
0.008,0.022,0.002,0.0
0.01,0.022,0.0,-0.002
0.01,0.02,0.002,0.0
0.012,0.02,0.0,-0.002
0.012,0.018,0.0,-0.002
0.012,0.016,0.002,0.0
0.014,0.016,0.0,-0.002
0.014,0.014,-0.002,0.0
0.012,0.014,0.002,-0.004
0.014,0.01,0.0,-0.002
0.014,0.008,0.0,-0.002
0.014,0.006,0.002,0.0
0.016,0.006,0.0,-0.002
0.016,0.004,0.0,-0.002
0.016,0.002,-0.002,0.0
0.014,0.002,0.0,-0.002
