Wall time,Step,Value
1587482696.2480536,396635,-0.59375
1587482954.924211,398912,-0.375
1587482987.822813,399432,-0.53125
1587483240.9564965,402289,-0.53125
1587483490.0241249,405054,-0.625
1587483829.4785795,408757,-0.625
1587483979.3675535,410647,-0.671875
1587484996.034683,420375,-0.578125
1587485362.6214745,423534,-0.359375
1587485484.8145628,424502,-0.515625
1587485789.5089135,427444,-0.4375
1587486738.994792,436653,-0.484375
1587486981.5617278,440080,-0.40625
1587487271.6004276,443209,-0.546875
1587487351.823359,444018,-0.59375
1587487928.3211124,450542,-0.515625
1587487995.3741531,451390,-0.625
1587488101.9597988,452568,-0.671875
1587488206.9583397,453475,-0.640625
1587489300.793958,463420,-0.546875
1587489396.1061616,464305,-0.453125
1587489479.5509117,464871,-0.375
1587489822.4114745,467842,-0.421875
1587489878.8314428,468230,-0.28125
1587489953.9126775,468986,-0.421875
1587490874.143078,478590,-0.3125
1587491234.7702901,482468,-0.546875
1587491446.2492647,484650,-0.4375
1587491973.0236728,489086,-0.5625
1587492044.1172004,489624,-0.515625
1587492306.2947783,491898,-0.421875
1587492563.2267473,493997,-0.515625
1587492682.361935,494991,-0.578125
1587492777.8886797,495625,-0.53125
1587494948.138953,517581,-0.640625
1587495018.0943084,518305,-0.546875
1587495348.8584833,521456,-0.6875
1587495761.8109245,525309,-0.59375
1587496033.5781698,528131,-0.5
1587496143.4240143,529707,-0.546875
1587496588.2695134,534379,-0.453125
1587496601.6890597,534498,-0.546875
1587496696.9665754,535932,-0.5625
1587496716.239232,536022,-0.640625
1587497198.427303,540161,-0.4375
1587497647.743984,544322,-0.46875
1587498514.6091754,552267,-0.578125
1587498565.4953907,552827,-0.53125
1587499086.6598454,558018,-0.46875
1587499535.5041914,563448,-0.5
1587499889.1041958,566944,-0.609375
1587500010.3042855,568026,-0.46875
1587500177.5664766,569451,-0.421875
1587500455.5361335,572000,-0.5
1587500595.2444088,573426,-0.46875
1587501192.9328277,578941,-0.53125
1587502476.4339051,590238,-0.609375
1587502615.9932508,591670,-0.453125
1587502892.4364846,594005,-0.375
1587503938.9745138,605242,-0.4375
1587504717.357698,612569,-0.4375
1587504799.1273317,613341,-0.40625
1587505776.776113,623018,-0.484375
1587505961.5259387,624543,-0.3125
1587506284.3356385,627239,-0.4375
1587506285.060125,627290,-0.453125
1587506713.8969836,631098,-0.484375
1587506714.77959,631161,-0.40625
1587506826.923559,631965,-0.453125
1587506841.882509,632214,-0.4375
1587507457.326582,637403,-0.546875
1587508375.7694006,645431,-0.296875
1587508458.5890582,646084,-0.453125
1587508972.5290432,651417,-0.359375
1587509421.380166,655538,-0.3125
1587509635.7218711,657439,-0.3125
1587510489.3371909,664595,-0.40625
1587510800.5538049,667174,-0.390625
1587511859.7173123,676559,-0.375
1587512933.0044382,686691,-0.359375
1587513150.742138,688625,-0.5625
1587513537.825218,692166,-0.484375
1587513922.8319802,695828,-0.421875
1587515122.4759278,707150,-0.453125
1587515140.4725106,707325,-0.484375
1587515509.2613094,711235,-0.4375
1587516454.1049309,721027,-0.390625
1587516558.8727858,722163,-0.53125
1587517135.4379675,727212,-0.515625
1587517600.844735,730852,-0.546875
1587517696.440597,731864,-0.640625
1587518025.5107725,734993,-0.390625
1587518108.8431346,735835,-0.4375
1587518148.1462326,736130,-0.515625
1587518158.4414842,736210,-0.515625
1587518213.7616324,737094,-0.546875
1587518278.9166436,737959,-0.421875
1587518733.6029737,742416,-0.375
1587518941.3665414,744428,-0.421875
1587519123.8929653,745976,-0.546875
1587519183.4329398,746440,-0.453125
1587519308.9842172,747494,-0.53125
1587519465.9870958,748740,-0.5
1587519663.2466347,750497,-0.453125
1587520133.120905,754512,-0.4375
1587520582.38295,758228,-0.328125
1587520817.2171385,760914,-0.296875
1587520849.4461465,761396,-0.40625
1587521294.526792,766750,-0.5625
1587522134.3908935,775350,-0.671875
1587522135.2772782,775417,-0.609375
1587522681.9941125,780065,-0.59375
1587522813.5500925,781215,-0.578125
1587523952.087603,791311,-0.5
1587524339.4961436,794837,-0.421875
1587524555.9166338,796914,-0.484375
1587525292.2143164,803356,-0.421875
1587525333.122323,803597,-0.421875
1587525373.8060815,803898,-0.484375
1587525802.2816622,807932,-0.5
1587525862.6675587,808483,-0.546875
1587526417.8951745,813257,-0.3125
1587526555.2430274,814668,-0.578125
1587527370.8882303,821315,-0.359375
1587527579.9422,823215,-0.34375
1587528103.1881945,828580,-0.375
1587528331.9639108,830499,-0.546875
1587529389.8528347,839337,-0.34375
1587529586.211919,840978,-0.515625
1587529654.1281688,841552,-0.3125
1587530027.1810558,844655,-0.359375
1587530271.6733296,846668,-0.375
1587530327.4049144,847194,-0.390625
1587530388.6193702,847558,-0.46875
1587530675.7874982,850142,-0.484375
1587530921.259904,852296,-0.296875
1587531139.8463426,854357,-0.265625
1587531259.4356844,855340,-0.40625
1587532183.1149354,864142,-0.625
1587532300.7848036,864936,-0.484375
1587533161.8087618,872425,-0.453125
1587533760.7947695,878320,-0.34375
1587533863.7304482,879381,-0.515625
1587534014.3347998,880674,-0.46875
1587534175.4656317,881874,-0.375
1587534389.139754,884114,-0.359375
1587534504.2724917,885245,-0.4375
1587534728.2497206,887590,-0.59375
1587534801.4649613,888434,-0.34375
1587535528.0485067,895785,-0.4375
1587535690.5581775,897600,-0.375
1587535893.9207435,899653,-0.515625
1587536043.5517447,901208,-0.390625
1587537211.195031,911759,-0.53125
1587537495.7626734,914573,-0.5625
1587537980.0522544,919134,-0.625
1587538566.0412977,924877,-0.4375
1587538800.3529649,927094,-0.375
1587538894.8770864,927908,-0.453125
1587538949.898497,928393,-0.484375
1587540262.100538,940542,-0.46875
1587540411.222141,941870,-0.40625
1587540516.948775,942984,-0.359375
1587541648.004699,954795,-0.609375
1587541776.926713,955928,-0.5625
1587542609.7893128,963534,-0.515625
1587543019.9124813,967535,-0.421875
1587543658.2921927,972990,-0.359375
1587543911.9575877,975360,-0.34375
1587544096.4021037,977075,-0.375
1587544199.6422648,977950,-0.34375
1587544706.626766,982736,-0.328125
1587545665.7210507,990645,-0.4375
1587545818.5617452,992086,-0.390625
1587546602.1240377,999938,-0.46875
1587546632.5014133,1000366,-0.46875
1587546834.1795824,1003062,-0.46875
1587547321.8759058,1008737,-0.71875
1587547474.161769,1010447,-0.671875
1587547475.0131445,1010513,-0.65625
1587547659.8406072,1012412,-0.640625
1587547979.55569,1016316,-0.671875
1587548160.9915552,1018283,-0.640625
1587548189.9533732,1018578,-0.640625
1587548285.027467,1019450,-0.75
1587549069.1149204,1026211,-0.53125
1587549446.4836173,1029653,-0.5
1587549728.2165976,1033284,-0.578125
1587549787.8380063,1034027,-0.609375
1587550768.8623185,1042663,-0.5625
1587550809.004107,1043092,-0.40625
1587551024.0915933,1045146,-0.421875
1587552077.9882178,1055026,-0.390625
1587552095.4891827,1055170,-0.390625
1587552534.5010812,1060098,-0.5
1587552992.967729,1064395,-0.546875
1587555286.9363954,1086607,-0.46875
1587555884.0516229,1094844,-0.5
1587555918.557803,1095267,-0.59375
1587556085.1091774,1097534,-0.75
1587556282.1844456,1099901,-0.84375
1587557766.139975,1115912,-0.671875
