Wall time,Step,Value
1587445708.2114365,9590,-0.875
1587445717.458012,9698,-0.796875
1587445726.2379115,9758,-0.921875
1587445736.1996324,9923,-0.890625
1587445736.7176244,9969,-0.8125
1587445737.6263545,10048,-0.890625
1587445746.0454185,10080,-0.84375
1587445769.439992,10369,-0.890625
1587445769.5869932,10381,-0.875
1587445770.1377766,10428,-0.96875
1587445770.1747983,10431,-0.859375
1587445779.66352,10539,-0.921875
1587445789.337294,10657,-0.953125
1587445789.6799827,10687,-0.828125
1587445801.712594,10947,-0.90625
1587445832.515284,11377,-0.90625
1587445841.008724,11404,-0.921875
1587445842.298432,11516,-0.875
1587445842.5651267,11539,-0.890625
1587445851.3566678,11594,-0.828125
1587445851.4170253,11599,-0.875
1587445873.7128093,11986,-0.890625
1587445892.0664017,12171,-0.859375
1587445893.5152,12296,-0.8125
1587445912.158466,12479,-0.8125
1587445933.606377,12863,-0.6875
1587445942.3735597,12922,-0.71875
1587445943.4663315,13018,-0.859375
1587445943.677509,13036,-0.859375
1587445972.9166057,13486,-0.828125
1587445982.5805092,13635,-0.828125
1587445991.767927,13743,-0.65625
1587446040.483526,14516,-0.828125
1587446068.6759024,14878,-0.8125
1587446079.539802,15110,-0.84375
1587446088.4528122,15169,-0.8125
1587446088.5826123,15180,-0.796875
1587446108.0681393,15470,-0.765625
1587446108.5454962,15510,-0.78125
1587446131.4782948,15821,-0.8125
1587446151.3149493,16130,-0.703125
1587446161.011802,16267,-0.765625
1587446170.6479907,16386,-0.828125
1587446181.0421758,16572,-0.78125
1587446181.9169145,16648,-0.765625
1587446191.0377007,16736,-0.8125
1587446191.4333248,16770,-0.734375
1587446191.6407337,16788,-0.75
1587446200.0782287,16806,-0.78125
1587446200.9192219,16879,-0.796875
1587446210.0069768,16961,-0.703125
1587446230.1927092,17304,-0.78125
1587446230.3126092,17314,-0.875
1587446240.3736694,17485,-0.75
1587446260.351501,17809,-0.765625
1587446278.671842,18002,-0.703125
1587446289.0164723,18200,-0.796875
1587446289.1592078,18213,-0.78125
1587446289.3876455,18233,-0.8125
1587446299.253756,18379,-0.8125
1587446308.421208,18467,-0.671875
1587446318.017293,18606,-0.75
1587446328.0438545,18771,-0.78125
1587446328.54029,18815,-0.765625
1587446338.9663382,19008,-0.6875
1587446357.970013,19231,-0.828125
1587446358.7371962,19296,-0.875
