Wall time,Step,Value
1587519239.818448,746998,-3.0
1587519311.6040027,747612,-5.0
1587519339.574055,747847,-1.0
1587519357.7449617,748010,-11.0
1587519596.1564667,750017,-9.0
1587519607.477595,750135,-4.0
1587519816.3513463,751907,-3.0
1587519905.064233,752701,-7.0
1587520048.2845886,753995,-29.0
1587520103.0349116,754429,-14.0
1587520347.0506022,756306,-29.0
1587520361.4829514,756440,-27.0
1587520575.215352,758209,0.0
1587521410.8985767,768244,-3.0
1587521895.9268227,773124,-5.0
1587522474.32148,778453,-16.0
1587522540.3826091,779018,-2.0
1587523962.1190228,791481,-11.0
1587524147.8523204,792979,0.0
1587524690.4838448,798045,-5.0
1587524981.8212426,800813,-8.0
1587525008.9787426,801026,-12.0
1587525704.4527593,807028,-3.0
1587526873.3826377,817254,-4.0
1587527141.9927742,819499,0.0
1587527207.6423166,820066,-24.0
1587527251.0927389,820365,-7.0
1587527443.7641995,822197,-5.0
1587528215.1444824,829537,-4.0
1587528574.1498468,832999,-9.0
1587528919.8277302,835575,-3.0
1587529216.3564427,837939,-49.0
1587529376.007297,839278,-19.0
1587529376.8751104,839284,-4.0
1587529475.2056012,840230,-3.0
1587529952.644832,844185,-6.0
1587530104.7802103,845502,-28.0
1587530163.4885046,845950,-4.0
1587530582.999337,849273,-3.0
1587531643.2905903,859156,-1.0
1587531897.8486702,861294,-3.0
1587532839.910454,869777,-1.0
1587533388.774953,874888,-4.0
1587533571.9989944,876449,-1.0
1587534024.846211,880868,-2.0
1587534154.8301783,881835,0.0
1587534604.5393922,886256,-2.0
1587534810.0895019,888529,-14.0
1587534822.6237586,888621,-8.0
1587535139.9404802,891922,-4.0
1587535739.3115168,898123,-3.0
1587536016.2379336,901119,-9.0
1587536653.463198,906860,-5.0
1587536679.0830715,907095,-3.0
1587536800.8917248,908146,-2.0
1587538343.220326,922787,-9.0
1587538497.658598,924281,-10.0
1587539254.7170942,931477,-2.0
1587539280.3893414,931688,-7.0
1587539393.5702603,932553,0.0
1587539489.524818,933403,-4.0
1587540029.7875953,938468,-16.0
1587540917.9734218,947574,-4.0
1587541236.402287,950838,-92.0
1587541749.5745199,955774,-4.0
1587542622.4472759,963721,-8.0
1587542833.057895,965653,-3.0
1587543474.4876506,971432,-3.0
1587543574.4373689,972322,-7.0
1587543903.2735434,975328,-5.0
1587543997.466874,976213,0.0
1587544878.9844754,984509,-3.0
1587544907.7163477,984696,-11.0
1587546885.4463398,1003682,-20.0
1587547255.4457014,1008053,-2.0
1587547988.5482123,1016495,-9.0
1587548097.9224021,1017829,0.0
1587548467.1804092,1021142,-2.0
1587548667.7873108,1022950,0.0
1587549060.9143102,1026242,-15.0
1587549240.7640028,1027615,-7.0
1587549412.8394637,1029387,-5.0
1587549983.139169,1036000,-3.0
1587550530.6371725,1040683,-3.0
1587551312.3845704,1048304,-20.0
1587551599.4778194,1050823,-13.0
1587551717.9778023,1052079,-3.0
1587551970.384821,1054200,-2.0
1587551978.9115906,1054245,0.0
1587552256.2620215,1056832,-1.0
1587552279.6486158,1057043,-5.0
1587552749.3011787,1062378,-4.0
1587553106.6885023,1065254,-1.0
1587553152.4587388,1065640,-29.0
1587554256.072703,1075796,-35.0
1587554354.825549,1076657,-4.0
1587554427.3906767,1077173,-2.0
1587554732.6784434,1079878,-2.0
1587554961.9842427,1082342,-5.0
1587556842.8399956,1106826,-12.0
1587557328.1076536,1111545,-31.0
1587557614.1023457,1114264,-3.0
1587558032.0273476,1118693,-7.0
1587558310.0253966,1121440,-54.0
1587558801.8338566,1126489,-5.0
1587558818.5343664,1126627,-1.0
1587559493.8228626,1132274,-3.0
1587559494.556955,1132278,-2.0
1587559623.281262,1133449,-2.0
1587560367.8780131,1139766,-2.0
1587561094.6428928,1146715,-11.0
1587561176.4399319,1147576,-4.0
1587562267.1774263,1159689,-4.0
1587562340.197121,1160269,-9.0
1587562773.4699922,1164557,-30.0
1587563072.9161174,1167500,-9.0
1587563183.21204,1168363,-3.0
1587563549.0795608,1171178,0.0
1587564117.9915538,1176830,-6.0
1587564575.4644,1180369,-2.0
1587564586.070147,1180440,-4.0
1587564912.870836,1183520,0.0
1587565995.3673875,1192490,-1.0
1587566003.1835449,1192536,-2.0
1587567065.5212662,1202035,-16.0
1587567360.9303627,1204911,-14.0
1587567494.0000613,1205908,-3.0
1587567525.4164696,1206153,-8.0
1587568479.965603,1215249,-19.0
1587568622.5009916,1216640,-11.0
1587568789.2889178,1218049,-18.0
1587569892.0359817,1227412,-5.0
1587570538.2818236,1234131,-19.0
1587570761.882581,1236004,0.0
1587570942.6529193,1237758,-6.0
1587571056.2666981,1238589,-3.0
1587571429.4738257,1242464,-8.0
1587571694.792993,1244634,-19.0
1587571895.2435055,1246201,-27.0
1587572358.8636312,1250508,-2.0
1587572741.0420291,1253526,-1.0
1587573034.5723846,1256130,-6.0
1587573257.385749,1257928,-4.0
1587573363.475288,1259076,-5.0
1587574104.0913947,1265184,-16.0
1587574286.2920156,1266738,-4.0
1587574439.6112704,1268028,-3.0
1587574672.6811337,1270048,-4.0
1587574836.585353,1271668,-12.0
1587575283.8923016,1276506,-6.0
1587576143.167869,1284477,-19.0
1587576252.1317666,1285527,-10.0
1587576448.053916,1287255,-5.0
1587576627.6375852,1288660,-8.0
1587576763.681204,1289979,-6.0
1587577249.9462163,1293753,0.0
1587577297.9311962,1294146,-5.0
1587577412.206937,1295198,-13.0
1587578097.1872003,1301358,-83.0
1587578302.6877773,1303507,-6.0
1587578895.4472847,1308372,-3.0
1587579868.5346036,1316998,-5.0
1587580349.6114104,1322148,-6.0
1587580544.7130463,1323938,-5.0
1587581501.4304912,1333764,-4.0
1587581559.143162,1334279,-6.0
1587581566.7002032,1334344,-4.0
1587581575.7115803,1334417,-20.0
1587581632.861754,1334968,-2.0
1587581855.0477488,1337523,-2.0
1587581953.483724,1338421,-2.0
1587581967.8303304,1338534,-5.0
1587581990.5429065,1338710,-6.0
1587585287.364129,1368112,-10.0
1587585396.228791,1368968,-4.0
1587586151.4222245,1374794,-5.0
1587586233.8458877,1375945,-6.0
1587586754.191619,1380546,-98.0
1587587531.638123,1388385,-4.0
1587588068.8289976,1393551,-10.0
1587588098.4999502,1393781,-3.0
1587589229.527309,1403215,-3.0
1587589709.252623,1407703,-16.0
1587589849.9678125,1409003,-2.0
1587590116.9492764,1411228,-5.0
1587590255.0944374,1412472,-1.0
1587591039.9159994,1419567,-13.0
1587591546.3855088,1423833,-8.0
1587591585.3496263,1424167,-3.0
1587592932.905788,1436324,-28.0
1587593063.7936194,1437472,-4.0
1587593443.2141707,1441403,-2.0
1587595788.2699027,1464494,-8.0
1587596061.2062962,1466688,-11.0
1587596158.0015955,1467522,-9.0
1587596271.047104,1468603,-8.0
1587596627.406577,1471609,-7.0
1587596681.758905,1472104,-7.0
1587596756.9825757,1472789,-6.0
1587597373.666761,1479181,-2.0
1587597970.1530983,1484075,-7.0
1587598115.0084255,1485207,0.0
1587599212.6294549,1494583,-2.0
1587603582.3876104,1549973,-26.0
1587605156.3161767,1570842,-4.0
1587605160.8680203,1570894,-10.0
1587605737.8973165,1576451,-3.0
1587606028.4414973,1579228,-3.0
1587606041.883825,1579342,-2.0
1587606053.6875792,1579448,-1.0
1587606198.40618,1580736,-2.0
1587606426.8594387,1583494,-2.0
1587609150.8289433,1609415,-5.0
1587609159.9946232,1609494,-1.0
1587609999.674858,1617889,-3.0
1587610088.9524007,1618660,-8.0
1587610105.0028157,1618827,-4.0
1587610189.7537951,1619547,-3.0
1587611671.2572114,1632677,-4.0
1587612208.0001092,1636892,-2.0
1587612242.9978786,1637300,-330.0
1587612275.9502378,1637579,-43.0
1587612375.7978392,1638612,-1.0
1587612508.4174833,1639912,-1.0
1587613167.1419637,1646996,0.0
1587613282.0941148,1648263,-3.0
1587613598.136693,1651018,-5.0
1587613687.0469449,1651796,-5.0
1587613803.1504967,1652811,-5.0
1587614072.774109,1655433,-15.0
1587614225.5955513,1656854,-6.0
1587614308.6856656,1657494,-9.0
1587614720.7678084,1661065,-2.0
1587615734.2902575,1671226,-2.0
1587615823.9239583,1672063,-5.0
1587615924.6023254,1673219,-14.0
1587616224.4824803,1675946,-3.0
1587616804.1766698,1682086,-3.0
1587616870.6516457,1682607,-3.0
1587617681.3196905,1689462,-3.0
1587617811.923713,1690712,-2.0
1587620081.4893806,1710906,-4.0
1587620316.326854,1712961,-1.0
1587620964.374208,1719423,0.0
1587621234.265433,1721687,-14.0
1587622120.660097,1730232,-5.0
1587623726.8442752,1745862,-2.0
1587623946.0083668,1747747,-12.0
1587625777.3519685,1766551,-1320.0
1587626591.3125389,1774113,0.0
1587627269.0717118,1780802,-6.0
1587627911.439098,1786378,-11.0
1587628001.5648236,1787200,-8.0
1587628147.6186206,1788710,-4.0
1587628610.5588799,1793064,-4.0
1587628748.2751312,1794602,-6.0
1587629122.2897978,1798975,-3.0
1587629306.278188,1801128,-5.0
1587629620.535855,1804250,-30.0
1587631318.3925138,1820851,-1.0
1587631468.1369345,1822147,-3.0
1587631808.006947,1825835,-6.0
1587632437.0328455,1831778,-7.0
1587632656.910377,1834562,-1.0
1587632877.7619898,1836900,-22.0
1587633185.598101,1839936,-7.0
1587635336.2149293,1863207,-8.0
1587635536.0924923,1865411,-2.0
1587635546.0099087,1865499,-7.0
1587635950.55106,1869335,-3.0
1587636519.7129164,1874120,-9.0
1587636799.9568365,1877010,-4.0
1587637423.6944315,1883399,-2.0
1587637478.3796408,1883867,-5.0
1587637522.779354,1884436,-3.0
1587637738.9734254,1886416,-99.0
1587638262.270741,1891361,-3.0
1587638549.3769405,1894283,-9.0
1587638563.8926473,1894391,-10.0
1587638999.459145,1899533,-2.0
1587639536.7701445,1904530,0.0
1587639565.2954712,1904734,-5.0
1587639646.7754388,1905392,-11.0
1587640097.9265509,1909950,-3.0
1587640103.685187,1909992,-11.0
1587640179.3069973,1910650,-8.0
1587640664.1710396,1915399,-13.0
1587641079.1611786,1919417,-1.0
1587641183.1241286,1920226,-31.0
1587641590.6999414,1924107,-4.0
1587642507.387044,1933398,-9.0
1587642668.15706,1934768,-3.0
1587642782.2653077,1935754,-1.0
1587643025.3546429,1937743,-3.0
1587643032.3168552,1937804,-10.0
1587643153.8064563,1939243,-13.0
1587643329.252599,1940790,-10.0
1587643911.2589836,1945971,0.0
1587643936.7965393,1946193,-15.0
1587643976.324539,1946511,-7.0
1587644782.9786026,1954254,-1.0
1587644789.1579287,1954302,-4.0
1587644835.8142717,1954664,-3.0
1587644988.639853,1955925,-3.0
1587645571.1735337,1961163,-2.0
1587645638.0633287,1961850,-2.0
1587645649.550401,1961922,-3.0
1587645714.2000759,1962523,-3.0
1587645753.0214746,1962853,-1.0
1587645757.3912485,1962886,-6.0
1587645932.476643,1964575,-47.0
1587646087.1774247,1966333,-404.0
1587646451.5071266,1970447,-1.0
1587647256.2288568,1977835,-12.0
1587647406.6650867,1979101,-1.0
1587647736.1098933,1982036,-6.0
1587647914.40003,1983804,-1.0
1587648734.7202983,1991193,-4.0
1587649026.384133,1993875,-3.0
1587650412.11932,2007598,-5.0
1587650791.1902487,2011014,-9.0
1587650824.9122388,2011258,-2.0
1587651178.0316167,2014874,-10.0
1587651656.05078,2019842,-10.0
1587651832.3976457,2021539,-2.0
1587651858.7799253,2021739,-11.0
1587651876.1252854,2021862,-2.0
1587652244.2410114,2024991,-3.0
1587652376.0451713,2026089,-9.0
1587653425.8052607,2037653,-13.0
1587654495.0189664,2046551,-5.0
1587655335.3679717,2055138,-1.0
1587655508.3880885,2056771,-1.0
1587655673.639357,2058247,-20.0
1587655841.4419022,2059648,-17.0
1587655850.9342356,2059695,-6.0
1587656395.0786583,2065680,-9.0
1587656956.3071122,2071235,-4.0
1587657038.0823934,2071927,-7.0
1587657323.9838371,2074679,-3.0
1587657358.4698112,2074969,-7.0
1587657453.6078272,2075851,-10.0
1587658516.7970967,2085948,-4.0
1587658995.114098,2090633,-4.0
1587660535.1357663,2107907,-21.0
1587660683.9611228,2109596,-6.0
1587661348.7733195,2115569,-12.0
1587663120.2718515,2133350,-8.0
